"task","user","system","elapsed","parallelism"
"Install MASS",7.953,0.427,9.299,NA
"Install lattice",9.951,0.372,11.058,NA
"Install BH",13.232,1.809,15.541,NA
"Write CSV, 10KB",0.00099999999999989,0,0.00600000000000023,NA
"Write CSV, 1MB",0.00800000000000001,0,0.00999999999999801,NA
"Write CSV, 100MB",0.586,0.077,0.665999999999997,NA
"Write CSV, 1GB",5.98,0.819,6.799,NA
"Read CSV, 10KB",0.00300000000000011,0.00099999999999989,0.0120000000000005,NA
"Read CSV, 1MB",0.00600000000000023,0.00100000000000011,0.0160000000000053,NA
"Read CSV, 100MB",0.23,0.095,0.956000000000003,NA
"Read CSV, 1GB",2.705,0.801,7.76900000000001,NA
"DD write, 1GB",0.017000000000003,1.585,17.209,2
"DD write, 1GB",0.0730000000000004,4.902,32.239,4
"DD write, 1GB",0.0809999999999995,11.319,68.218,8
"DD write, 1GB",0.166,25.044,130.036,16
"DD read, 1GB",0,0.00800000000000001,16.386,2
"DD read, 1GB",0.0380000000000003,1.759,31.78,4
"DD read, 1GB",0.0560000000000009,5.249,67.976,8
"DD read, 1GB",0.171999999999997,9.796,135.215,16
"Write CSV, 100MB over 10 files",0.782,0.162,0.946000000000026,NA
"Read CSV, 100MB over 10 files",0.258000000000003,0.0410000000000004,0.883000000000038,NA
"Write CSV, 100MB over 100 files",0.971,0.13,1.11000000000001,NA
"Read CSV, 100MB over 100 files",0.449999999999999,0.0989999999999998,0.932999999999993,NA
"Write CSV, 100MB over 1000 files",0.888999999999999,0.119,1.01199999999994,NA
"Read CSV, 100MB over 1000 files",0.753,0.0960000000000001,1.42000000000007,NA
"Write CSV, 100MB over 10000 files",2.536,0.306,2.85200000000009,NA
"Read CSV, 100MB over 10000 files",5.019,0.563000000000001,10.7890000000001,NA
"DD write, 10MB over 1000 files",1.701,0.382000000000009,2.43799999999999,2
"DD write, 10MB over 1000 files",5.209,1.288,4.58500000000004,4
"DD write, 10MB over 1000 files",12.572,3.16,9.27599999999995,8
"DD write, 10MB over 1000 files",27.723,6.95899999999999,19.027,16
"DD read, 10MB over 1000 files",1.646,0.326000000000007,2.779,2
"DD read, 10MB over 1000 files",5.215,1.202,4.62800000000004,4
"DD read, 10MB over 1000 files",12.447,2.906,9.01099999999997,8
"DD read, 10MB over 1000 files",27.207,6.405,18.373,16
"FST random reads, 100MB over 10*10MB reads",0.183999999999997,0.104,0.208000000000084,NA
"FST random reads, 100MB over 100*1MB reads",0.460999999999999,0.0830000000000002,0.38900000000001,NA
"FST random reads, 100MB over 1000*100KB reads",1.372,0.133,1.16100000000006,NA
"FST random reads, 100MB over 10000*10KB reads",1.124,0.393,3.33400000000006,NA
"Read 14 days of CRAN logs with fread",54.427,5.621,60.0939999999999,NA
"Sample 5000 rows from each of 14 CRAN logs with vroom",44.524,11.426,35.603,NA
