"task","user","system","elapsed","parallelism"
"Install MASS",8.215,0.597,23.145,NA
"Install lattice",9.69,0.454,18.107,NA
"Install BH",14.192,5.976,329.337,NA
"Write CSV, 10KB",0.00100000000000033,0,0.0319999999999823,NA
"Write CSV, 1MB",0.00800000000000001,0,0.0730000000000359,NA
"Write CSV, 100MB",0.672,0.0610000000000002,1.26599999999996,NA
"Write CSV, 1GB",6.071,0.823,13.541,NA
"Read CSV, 10KB",0.00300000000000011,0.00099999999999989,0.0260000000000105,NA
"Read CSV, 1MB",0.00499999999999901,0,0.0519999999999641,NA
"Read CSV, 100MB",0.231999999999999,0.102,3.08300000000003,NA
"Read CSV, 1GB",2.624,0.909,27.4350000000001,NA
"DD write, 1GB",0.0100000000000051,1.142,19.03,2
"DD write, 1GB",0.200000000000003,2.689,39.252,4
"DD write, 1GB",0.827999999999996,6.902,79.3130000000001,8
"DD write, 1GB",1.642,15.902,158.746,16
"DD read, 1GB",0.00799999999999557,0.679000000000004,11.903,2
"DD read, 1GB",0.0280000000000022,2.374,12.833,4
"DD read, 1GB",0.078000000000003,7.635,26.381,8
"DD read, 1GB",0.187999999999999,17.853,53.474,16
"Write CSV, 100MB over 10 files",0.693000000000001,0.131,2.17600000000004,NA
"Read CSV, 100MB over 10 files",0.283000000000001,0.0830000000000002,4.44299999999998,NA
"Write CSV, 100MB over 100 files",0.963000000000001,0.118,5.27800000000002,NA
"Read CSV, 100MB over 100 files",0.431999999999999,0.0659999999999998,3.476,NA
"Write CSV, 100MB over 1000 files",1.284,0.226,24.16,NA
"Read CSV, 100MB over 1000 files",1.087,0.255,8.48200000000008,NA
"Write CSV, 100MB over 10000 files",6.497,1.433,123.016,NA
"Read CSV, 100MB over 10000 files",8.378,1.926,62.3509999999999,NA
"DD write, 10MB over 1000 files",1.756,0.475,13.902,2
"DD write, 10MB over 1000 files",5.248,1.125,37.7840000000001,4
"DD write, 10MB over 1000 files",12.445,2.80700000000001,75.0450000000001,8
"DD write, 10MB over 1000 files",27.977,6.63000000000001,153.929,16
"DD read, 10MB over 1000 files",1.739,0.353999999999994,5.95499999999993,2
"DD read, 10MB over 1000 files",5.114,1.18,6.38599999999997,4
"DD read, 10MB over 1000 files",12.635,2.96099999999999,10.1279999999999,8
"DD read, 10MB over 1000 files",25.967,6.51000000000001,20.136,16
"FST random reads, 100MB over 10*10MB reads",0.294000000000004,0.122999999999999,0.991999999999962,NA
"FST random reads, 100MB over 100*1MB reads",0.686999999999998,0.124000000000001,1.92000000000007,NA
"FST random reads, 100MB over 1000*100KB reads",3.29600000000001,0.193,6.99300000000017,NA
"FST random reads, 100MB over 10000*10KB reads",2.06,1.002,31.961,NA
"Read 14 days of CRAN logs with fread",53.896,5.687,64,NA
"Sample 5000 rows from each of 14 CRAN logs with vroom",44.027,11.849,36.107,NA
