"task","user","system","elapsed","parallelism"
"Install MASS",8.82,0.619,20.818,NA
"Install lattice",10.003,0.532,16.937,NA
"Install BH",14.617,5.997,234.431,NA
"Write CSV, 10KB",0,0.00200000000000022,0.0229999999999677,NA
"Write CSV, 1MB",0.00800000000000001,0,0.0469999999999686,NA
"Write CSV, 100MB",0.617,0.0799999999999998,1.05700000000002,NA
"Write CSV, 1GB",6.121,0.778,13.556,NA
"Read CSV, 10KB",0,0.00499999999999989,0.0230000000000246,NA
"Read CSV, 1MB",0.00600000000000023,0,0.04200000000003,NA
"Read CSV, 100MB",0.302,0.0720000000000001,2.22699999999998,NA
"Read CSV, 1GB",2.999,0.958,19.965,NA
"DD write, 1GB",0.0130000000000052,1.171,18.938,2
"DD write, 1GB",0.0320000000000036,3.652,39.365,4
"DD write, 1GB",0.0719999999999956,8.933,79.126,8
"DD write, 1GB(16)",1.09399999999999,18.403,158.564,16
"DD read, 1GB",0.00999999999999801,0.746,7.37900000000002,2
"DD read, 1GB",0.0329999999999941,2.48599999999999,12.557,4
"DD read, 1GB",0.0549999999999997,5.086,26.552,8
"DD read, 1GB(16)",0.142000000000007,14.911,53.5029999999999,16
"Write CSV, 100MB over 10 files",0.698999999999998,0.133,1.68200000000002,NA
"Read CSV, 100MB over 10 files",0.335999999999999,0.0939999999999994,3.2600000000001,NA
"Write CSV, 100MB over 100 files",0.969000000000001,0.139,3.66899999999998,NA
"Read CSV, 100MB over 100 files",0.480999999999998,0.114,2.88400000000001,NA
"Write CSV, 100MB over 1000 files",1.349,0.27,15.26,NA
"Read CSV, 100MB over 1000 files",1.183,0.316,8.17500000000007,NA
"Write CSV, 100MB over 10000 files",6.582,1.474,83.1900000000001,NA
"Read CSV, 100MB over 10000 files",8.773,2.059,67.4299999999999,NA
"DD write, 10MB over 1000 files",1.767,0.376000000000005,9.21900000000005,2
"DD write, 10MB over 1000 files",5.279,1.29700000000001,22.1079999999999,4
"DD write, 10MB over 1000 files",12.654,3.05499999999999,44.0630000000001,8
"DD write, 10MB over 1000 files(16)",27.963,7.20299999999999,89.9830000000002,16
"DD read, 10MB over 1000 files",1.774,0.39800000000001,6.29099999999994,2
"DD read, 10MB over 1000 files",5.285,1.146,6.54099999999994,4
"DD read, 10MB over 1000 files",12.787,3.12,10.396,8
"DD read, 10MB over 1000 files(16)",26.137,6.728,20.3510000000001,16
"FST random reads, 100MB over 10*10MB reads",0.254000000000005,0.0869999999999997,0.621000000000095,NA
"FST random reads, 100MB over 100*1MB reads",0.741,0.0700000000000003,1.49199999999996,NA
"FST random reads, 100MB over 1000*100KB reads",3.33000000000001,0.212999999999999,5.42600000000016,NA
"FST random reads, 100MB over 10000*10KB reads",2.397,1.006,29.4010000000001,NA
"Read 14 days of CRAN logs with fread",53.939,5.714,60.2440000000001,NA
"Sample 5000 rows from each of 14 CRAN logs with vroom",43.948,12.172,35.4099999999999,NA
