"task","user","system","elapsed","parallelism"
"Install MASS",8.594,0.555,14.085,NA
"Install lattice",10.47,0.4,13.534,NA
"Install BH",15.401,4.678,149.96,NA
"Write CSV, 10KB",0.000999999999999446,0.00100000000000011,0.00899999999998613,NA
"Write CSV, 1MB",0.00800000000000001,0,0.0190000000000055,NA
"Write CSV, 100MB",0.722,0.0940000000000001,1.16399999999999,NA
"Write CSV, 1GB",6.12,0.666,12.681,NA
"Read CSV, 10KB",0.00400000000000134,0,0.00799999999998136,NA
"Read CSV, 1MB",0.00499999999999901,0,0.0120000000000005,NA
"Read CSV, 100MB",0.241,0.14,0.542000000000002,NA
"Read CSV, 1GB",2.812,1.074,4.56599999999997,NA
"DD write, 1GB",0,0.012,22.756,2
"DD write, 1GB",0.0200000000000031,3.318,34.775,4
"DD write, 1GB",0.170999999999996,5.525,67.315,8
"DD write, 1GB(16)",0.150000000000006,18.578,131.794,16
"DD read, 1GB",0.00799999999999912,0.779000000000001,15.357,2
"DD read, 1GB",0.0339999999999989,4.247,15.442,4
"DD read, 1GB",0.0519999999999996,7.574,33.192,8
"DD read, 1GB(16)",0.112000000000002,8.491,110.341,16
"Write CSV, 100MB over 10 files",0.765000000000001,0.129,1.34500000000003,NA
"Read CSV, 100MB over 10 files",0.234000000000002,0.0830000000000002,0.637000000000057,NA
"Write CSV, 100MB over 100 files",0.983999999999998,0.0510000000000002,2.21500000000003,NA
"Read CSV, 100MB over 100 files",0.382999999999999,0.101,0.737999999999943,NA
"Write CSV, 100MB over 1000 files",1.391,0.2,7.84199999999998,NA
"Read CSV, 100MB over 1000 files",0.864000000000001,0.202,2.08000000000004,NA
"Write CSV, 100MB over 10000 files",6.244,1.304,64.9250000000001,NA
"Read CSV, 100MB over 10000 files",6.081,1.335,15.577,NA
"DD write, 10MB over 1000 files",1.87,0.492999999999999,9.63,2
"DD write, 10MB over 1000 files",5.15,1.13,11.697,4
"DD write, 10MB over 1000 files",12.059,2.95,23.8249999999999,8
"DD write, 10MB over 1000 files(16)",26.285,6.641,51.01,16
"DD read, 10MB over 1000 files",1.63099999999999,0.425000000000011,3.02700000000004,2
"DD read, 10MB over 1000 files",5.279,1.27,5.10800000000006,4
"DD read, 10MB over 1000 files",12.92,3.38799999999999,10.5260000000001,8
"DD read, 10MB over 1000 files(16)",27.754,7.13300000000001,20.114,16
"FST random reads, 100MB over 10*10MB reads",0.146999999999998,0.141,0.216000000000008,NA
"FST random reads, 100MB over 100*1MB reads",0.314,0.129,0.325000000000045,NA
"FST random reads, 100MB over 1000*100KB reads",1.13,0.313000000000001,1.10799999999995,NA
"FST random reads, 100MB over 10000*10KB reads",1.184,0.578000000000001,2.75699999999995,NA
"Read 14 days of CRAN logs with fread",56.741,5.835,62.6750000000001,NA
"Sample 5000 rows from each of 14 CRAN logs with vroom",43.887,12.057,35.4199999999998,NA
