"task","user","system","elapsed","parallelism"
"Install MASS",13.958,1.712,15.447,NA
"Install lattice",17.083,1.596,18.519,NA
"Install BH",24.461,3.849,28.217,NA
"Write CSV, 10KB",0.00199999999999978,0,0.00799999999999557,NA
"Write CSV, 1MB",0.0100000000000007,0.003,0.0130000000000052,NA
"Write CSV, 100MB",1.09,0.126,0.664000000000001,NA
"Write CSV, 1GB",12.024,1.762,7.551,NA
"Read CSV, 10KB",0.00399999999999778,0,0.0109999999999957,NA
"Read CSV, 1MB",0.0160000000000018,0.00099999999999989,0.0269999999999868,NA
"Read CSV, 100MB",0.555999999999997,0.199,0.785000000000011,NA
"Read CSV, 1GB",6.713,1.618,7.61,NA
"DD write, 1GB",0.00799999999999557,2.277,7.224,2
"DD write, 1GB",0.00500000000000256,2.16,15.893,4
"DD write, 1GB",0.198000000000004,10.218,31.79,8
"DD write, 1GB",0.607999999999997,35.715,64.501,16
"DD read, 1GB",0.00499999999999901,1.47900000000001,7.233,2
"DD read, 1GB",0.0229999999999997,2.861,16.118,4
"DD read, 1GB",0.164000000000001,8.19799999999999,32.575,8
"DD read, 1GB",0.268999999999998,17.693,65.187,16
"Write CSV, 100MB over 10 files",1.147,0.249,0.896999999999991,NA
"Read CSV, 100MB over 10 files",0.625,0.185,1.142,NA
"Write CSV, 100MB over 100 files",1.177,0.156,1.33300000000003,NA
"Read CSV, 100MB over 100 files",1.149,0.389,2.37900000000002,NA
"Write CSV, 100MB over 1000 files",1.046,0.140000000000001,1.18600000000004,NA
"Read CSV, 100MB over 1000 files",1.90199999999999,0.465999999999999,4.29399999999998,NA
"Write CSV, 100MB over 10000 files",3.177,0.452,3.63,NA
"Read CSV, 100MB over 10000 files",11.164,2.333,20.975,NA
"DD write, 10MB over 1000 files",2.434,2.1,5.75,2
"DD write, 10MB over 1000 files",4.84400000000001,2.47199999999998,4.01100000000002,4
"DD write, 10MB over 1000 files",17.226,8.052,7.60300000000001,8
"DD write, 10MB over 1000 files",36.078,16.308,14.631,16
"DD read, 10MB over 1000 files",3.29199999999999,4.39699999999999,9.94500000000005,2
"DD read, 10MB over 1000 files",8.22199999999998,5.31700000000001,6.57800000000003,4
"DD read, 10MB over 1000 files",17.046,7.70900000000001,7.642,8
"DD read, 10MB over 1000 files",29.061,12.236,14.249,16
"FST random reads, 100MB over 10*10MB reads",0.571000000000005,0.232999999999999,0.389999999999986,NA
"FST random reads, 100MB over 100*1MB reads",1.793,0.097999999999999,0.625999999999976,NA
"FST random reads, 100MB over 1000*100KB reads",2.302,0.225,1.69999999999999,NA
"FST random reads, 100MB over 10000*10KB reads",1.578,0.688000000000001,4.28100000000001,NA
"Read 14 days of CRAN logs with fread",97.028,10.293,79.054,NA
"Sample 5000 rows from each of 14 CRAN logs with vroom",76.423,31.28,81.933,NA
